Name_Adopt,RA_Adopt,Dec_Adopt,zem_Adopt,RA_UVES,Dec_UVES,RA_SSS,Dec_SSS,B_SSS,R1_SSS,R2_SSS,I_SSS,Name_SDSS,zem_SDSS,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,Name_NED,zem_NED,Name_SIMBAD,zem_SIMBAD,Spec_status,NumExp,ExpTime,WavStart,WavEnd,WavCoverage,Dispersion,CNR,ResPowerNom,SlitWidths,Binnings,Settings,Seeing,ProgIDs,PIObjNames,DLAzabs,DLAlogNHI,DLAelogNHI,DLAReference
J010604-254651,01:06:04.41,-25:46:51.3,3.365,01:06:04.29,-25:46:52.4,01:06:04.418,-25:46:51.38,19.513,18.493,18.462,18.362,,,,,,,,FDF 4683,3.365,QSO B0103-260,3.365,0,8,24800,4164.5234534715,6214.7083231396,"4164.52-4248.07,4249.70-5167.04,5230.99-5462.99,5469.37-5578.17,5578.68-6209.79",2.5,"0,30,26,0,0","0.0,47.8,47.8,0.0,0.0",1,2x2,520,"0.49,0.72,0.99",66.A-0133(A),q0103m260,,,,
J011453+031457,01:14:53.25,+03:14:57.3,2.81,01:14:53.20,+03:14:59.1,01:14:53.249,+03:14:57.34,19.076,17.687,17.96,17.841,,,,,,,,[HB89] 0112+030,2.81,B0112+03,2.81,0,2,9000,3284.6108983254,6811.7547711868,"3284.61-4524.17,4786.30-4808.18,4808.42-4846.06,4848.32-4854.84,4857.99-4884.52,4887.01-4923.57,4926.90-4963.27,4966.63-5661.50,5666.32-5758.35,5834.77-6064.91,6069.57-6187.10,6191.85-6763.25,6766.80-6811.75",2.5,"8,12,21,22,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,580","0.68,0.78,1.35","66.A-0624(A),68.A-0600(A)","q0112g,q0112p0300",,20.9,0.1,Ledoux et al. (2006)
J013301-400628,01:33:01.91,-40:06:28.1,3.023,01:33:01.90,-40:06:28.0,01:33:01.914,-40:06:28.12,17.635,16.966,16.566,16.584,,,,,,,,TOLOLO 0130-403,3.023,QSO B0130-4021,3.023,0,3,9065,3283.0213179117,6809.8210020564,"3286.66-4522.81,4620.79-6702.44,6702.55-6798.30,6798.42-6809.82",2.5,"14,17,39,39,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564,580","0.80,1.58,1.71","079.B-0469(A),70.B-0522(A)","q0130m4021,qm0130m403",,,,
J015327-431137,01:53:27.18,-43:11:37.9,2.74,01:53:27.28,-43:11:38.2,01:53:27.186,-43:11:37.97,17.354,16.45,16.728,16.119,,,,,,,,HE 0151-4326,2.74,QSO B0151-4326,2.74,0,19,66900,3041.7205365346,10428.793590291,"3046.26-5757.84,5834.01-7966.42,7966.82-8524.47,8663.93-8790.92,8794.44-10087.17,10088.26-10255.19,10259.38-10428.79",2.5,"56,119,111,110,112","49.8,49.8,47.8,47.8,47.8",1,2x2,"346,390,437,580,860","0.51,0.79,2.08","079.B-0469(A),166.A-0106(A)",he0151m4326,,,,
J020900-455026,02:09:00.99,-45:50:26.7,2.52,02:09:00.92,-45:50:27.3,02:09:00.985,-45:50:26.74,19.208,18.131,18.198,17.813,,,,,,,,,,,,0,5,14064,3758.7336892774,9466.2602336439,"3758.73-4984.17,5686.20-5826.11,5829.76-5861.15,5862.18-7525.65,7666.02-9466.26",2.5,"0,13,0,21,18","0.0,59.8,0.0,56.9,56.9",0.8,2x2,"437,760","0.69,0.93,1.07",074.A-0473(A),ctq1007,,21,0.1,This work
J021857+081727,02:18:57.35,+08:17:27.4,2.991,02:18:57.32,+08:17:27.9,02:18:57.354,+08:17:27.44,18.415,17.87,17.831,17.89,,,,,,,,[HB89] 0216+080,2.991,QSO J0218+0817,2.996,0,10,37200,3045.6194723545,10429.4557824694,"3121.63-3265.76,3265.96-4519.84,4781.47-5578.55,5579.06-5756.67,5834.57-6301.71,6302.29-6849.52,6859.35-6932.44,6941.23-6993.64,6998.01-8527.07,8662.96-10087.98,10089.24-10256.01,10260.21-10429.46",2.5,"14,24,26,28,42","49.8,49.8,47.8,47.8,52.0","0.9,1.0",2x2,"346,390,580,860","0.39,0.72,1.96","072.A-0346(A),073.B-0787(A)","q0216p08,q0216p080",,20.45,0.16,Zafar et al. (2013)
J025140-220026,02:51:40.40,-22:00:26.3,3.197,02:51:40.40,-22:00:25.6,02:51:40.400,-22:00:26.33,17.949,17.358,17.453,16.95,,,,,,,,UM 678,3.197,QSO B0249-2212,3.205,0,2,5060,3282.6559240501,6810.1988017311,"3489.05-4518.77,4784.29-4854.13,4857.25-5755.83,5833.63-6064.08,6067.37-6810.20",2.5,"17,15,30,41,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,580","0.79,0.94,1.02",71.B-0106(B),qm0249m222,,,,
J032412-320259,03:24:12.45,-32:02:59.5,3.302,03:24:12.39,-32:02:59.4,03:24:12.453,-32:02:59.52,18.326,17.633,17.46,17.243,,,,,,,,[KTS2005] 0322-3213,3.302,QSO J0324-3203,3.302,0,1,1800,3758.626127246,9466.3840376857,"3758.63-4984.41,5789.33-7524.69,7671.43-7759.83,7759.96-8047.49,8047.62-8163.34,8163.55-8174.24,8174.51-8264.03,8264.16-8284.73,8284.86-8467.44,8467.58-8515.17,8515.38-8642.36,8642.51-8770.21,8770.36-8799.74,8799.96-8805.24,8805.39-8823.69,8823.91-8829.29,8829.43-9052.13,9052.35-9118.87,9119.03-9250.46,9250.61-9284.92,9285.23-9378.30,9378.54-9404.77,9404.93-9466.38",2.5,"0,12,0,17,15","0.0,59.8,0.0,56.9,56.9",0.8,2x2,"437,760","0.71,1.02,1.33",072.A-0442(A),hem0322m3213,,20.5,0.1,This work
J033108-252443,03:31:08.91,-25:24:43.3,2.685,03:31:08.78,-25:24:44.4,03:31:08.915,-25:24:43.38,18.005,17.741,17.618,17.406,,,,,,,,[HB89] 0329-255,2.685,QSO B0329-255,2.685,0,26,84583,3043.7339812139,10428.6502915992,"3138.35-5578.54,5578.86-5764.53,5834.66-6992.75,6997.12-8531.53,8663.30-10086.61,10087.96-10254.71,10261.64-10428.65",2.5,"29,64,64,61,48","49.8,49.8,47.8,47.8,47.8",1,2x2,"346,437,580,860","0.42,0.70,1.06",166.A-0106(A),pks0329m255,,,,
J033244-445557,03:32:44.09,-44:55:57.1,2.6,03:32:44.02,-44:55:56.5,03:32:44.090,-44:55:57.15,17.687,17.176,16.987,16.871,,,,,,,,PKS 0330-450,2.6,QSO J0332-4455,2.679,0,5,13800,3282.7792660125,9466.1944201036,"3330.04-5239.21,5244.41-7524.66,7666.60-7717.28,7717.41-7796.06,7796.32-7844.19,7844.38-7905.19,7905.46-7951.27,7951.41-7994.36,7994.62-8109.58,8109.85-8144.00,8144.82-8332.37,8332.64-8384.50,8384.64-8467.34,8467.84-8558.92,8559.07-8634.48,8634.63-8688.51,8688.65-8733.04,8733.18-8738.87,8739.01-8767.04,8767.26-8816.90,8817.12-8861.42,8861.71-8888.13,8888.35-8921.77,8922.07-9003.46,9003.69-9050.96,9051.19-9059.34,9059.50-9151.60,9151.75-9219.77,9220.00-9294.03,9294.19-9364.28,9364.52-9370.30,9370.53-9378.27,9378.59-9466.19",2.5,"18,34,41,43,15","49.8,49.8,47.8,47.8,56.9","0.8,1.0",2x2,"390,437,580,760","0.77,0.92,1.34","072.A-0442(A),078.A-0164(A)","hem0331m4506,q0331m451",,,,
