Name_Adopt,RA_Adopt,Dec_Adopt,zem_Adopt,RA_UVES,Dec_UVES,RA_SSS,Dec_SSS,B_SSS,R1_SSS,R2_SSS,I_SSS,Name_SDSS,zem_SDSS,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,Name_NED,zem_NED,Name_SIMBAD,zem_SIMBAD,Spec_status,NumExp,ExpTime,WavStart,WavEnd,WavCoverage,Dispersion,CNR,ResPowerNom,SlitWidths,Binnings,Settings,Seeing,ProgIDs,PIObjNames,DLAzabs,DLAlogNHI,DLAelogNHI,DLAReference
J002151-012834,00:21:51.67,-01:28:34.0,1.589,00:21:51.58,-01:28:33.9,00:21:51.676,-01:28:33.89,18.409,17.956,17.882,17.275,SDSS J002151.67-012834.0,1.589,18.64,18.331,18.209,17.963,17.942,LBQS 0019-0145A,1.588,LBQS 0019-0145A,1.588,0,2,7200,3936.5441355699,9284.2389035347,"3936.54-4085.54,4086.12-5160.27,5463.35-5536.92,5551.62-5578.30,5578.95-5611.66,5615.50-5707.56,5707.94-7311.24,7435.06-9273.56",2.5,"0,13,6,18,16","0.0,49.8,47.8,47.8,47.8",1,2x2,"455,738","0.62,0.79,0.99",66.A-0624(A),q0019m0145,,,,
J004057-014631,00:40:57.61,-01:46:31.9,1.178,00:40:57.02,-01:46:30.4,00:40:57.610,-01:46:32.07,18.433,17.613,18.315,17.886,SDSS J004057.61-014631.9,1.178,18.456,18.555,18.29,18.249,18.353,FBQS J0040-0146,1.178,4C -02.04A,1.176,0,4,4544,3283.3726700094,9467.1949999548,"3302.51-7517.24,7661.98-9467.19",2.5,"5,12,13,20,13","49.8,49.8,47.8,47.8,47.8",1,2x2,"390,437,580,760","0.44,0.52,0.65",075.A-0841(A),pksm0038m020,,,,
J004201-403039,00:42:01.18,-40:30:39.5,2.37,00:42:01.23,-40:30:39.0,00:42:01.188,-40:30:39.53,19.767,18.956,19.062,18.692,,,,,,,,PKS 0039-407,2.37,QSO B0039-4047,2.478,0,5,16500,3282.6866966527,6653.4776361215,"3293.38-4519.45,4619.51-5599.47,5675.29-6616.57,6619.28-6652.42",2.5,"6,8,19,18,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.75,0.96,1.31",075.A-0158(A),b0039m407,,,,
J004342-262209,00:43:42.78,-26:22:09.7,3.053,00:43:42.61,-26:22:11.0,00:43:42.786,-26:22:09.77,18.494,17.702,17.973,17.349,,,,,,,,LBQS 0041-2638,3.053,LBQS 0041-2638,3.053,0,2,3600,3758.3503022144,10428.9986470853,"3758.35-4982.25,6701.70-6777.80,6782.66-6849.90,6859.45-6931.33,6941.16-6992.87,6999.11-8524.49,8662.07-9766.78,9774.68-9924.25,9943.72-10086.95,10107.49-10255.05,10282.20-10429.00",2.5,"0,14,0,0,16","0.0,45.5,0.0,0.0,44.2",1.1,2x2,"437,860","0.86,0.97,0.99",70.A-0031(A),sgp4,,,,
J004351-265128,00:43:51.85,-26:51:28.1,2.786,00:43:51.78,-26:51:27.9,00:43:51.858,-26:51:28.11,18.371,17.547,17.872,17.453,,,,,,,,LBQS 0041-2707,2.786,LBQS 0041-2707,2.786,0,2,3600,3758.3490050794,10429.0820161392,"3758.35-4983.91,6702.14-6778.64,6782.60-6853.56,6861.45-6934.85,6941.33-6991.58,7001.73-8524.99,8662.79-10086.94,10088.54-10255.13,10267.54-10429.08",2.5,"0,15,0,0,16","0.0,45.5,0.0,0.0,44.2",1.1,2x2,"437,860","0.80,1.16,1.26",70.A-0031(A),sgp9,,,,
J004428-243417,00:44:28.08,-24:34:17.9,0.807,00:44:28.10,-24:34:17.9,00:44:28.085,-24:34:17.99,17.947,17.699,17.554,17.488,,,,,,,,[HB89] 0042-248,0.807,QSO B0042-248,0.807,0,2,1800,3284.3163084316,6652.7295020446,"3284.32-4521.96,4619.03-4693.11,4701.73-5579.17,5579.54-5599.35,5673.66-6302.25,6302.83-6618.31,6618.48-6652.73",2.5,"5,5,14,12,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.66,0.66,0.74",67.B-0373(A),0042m248,,,,
J004452-264009,00:44:52.24,-26:40:09.0,3.33,00:44:52.04,-26:40:10.0,00:44:52.248,-26:40:09.07,19.434,18.358,18.283,18.048,,,,,,,,[WHO91] 0042-269,3.33,QSO B0042.8-2656,3.358,0,4,9600,3758.3458398159,10429.9429565473,"3885.37-5162.03,5233.59-6207.44,6702.14-6779.54,6781.58-6853.78,6858.07-6934.15,6940.46-6992.86,6996.77-8524.98,8662.86-10087.10,10088.70-10255.47,10260.26-10429.94",2.5,"0,16,16,0,11","0.0,48.7,52.0,0.0,44.2","0.9,1.1",2x2,"437,520,860","0.61,0.76,1.37","088.A-0885(A),70.A-0031(A)","q0042m2656,sgp3",,,,
J004519-264050,00:45:19.57,-26:40:50.6,2.898,00:45:19.46,-26:40:49.4,00:45:19.570,-26:40:50.63,19.132,18.572,18.656,18.436,,,,,,,,LBQS 0042-2657,2.898,LBQS 0042-2657,2.898,0,3,5400,3758.3459193674,10431.9438171981,"3758.35-4983.91,6702.14-6778.92,6781.69-6837.51,6842.64-6850.81,6858.81-6931.49,6941.32-6989.24,6998.34-8447.63,8455.73-8524.98,8664.88-9614.28,9632.18-9766.77,9785.68-9924.32,9943.21-10087.44",2.5,"0,10,0,0,12","0.0,45.5,0.0,0.0,44.2",1.1,2x2,"437,860","1.19,1.27,1.64",70.A-0031(A),sgp6,,,,
J004612-293109,00:46:12.20,-29:31:09.9,1.675,00:46:12.20,-29:31:10.4,00:46:12.200,-29:31:09.99,19.651,19.652,19.4,18.796,,,,,,,,EIS_QLZ 006,1.675,2QZ J004612.2-293110,1.675,0,9,45470,3044.8691589465,6654.2929158788,"3093.81-3872.20,4620.81-5601.41,5675.51-6616.89,6619.54-6654.29",2.5,"13,0,26,26,0","49.8,0.0,47.8,47.8,0.0",1,2x2,"346,564","0.64,0.93,1.46",077.B-0758(A),004345.8m294733,,,,
J004812-255003,00:48:12.53,-25:50:03.8,1.242,00:48:12.58,-25:50:02.2,00:48:12.535,-25:50:03.83,18.357,17.521,17.636,17.604,,,,,,,,LBQS 0045-2606,1.242,LBQS 0045-2606,1.242,0,2,3000,3285.0624199634,6651.9661218951,"3285.06-4522.61,4618.15-4698.64,4701.15-5598.75,5672.63-6651.97",2.5,"7,6,17,16,0","49.8,49.8,47.8,47.8,0.0",1,2x2,"390,564","0.52,0.68,1.01",67.B-0373(A),lbqsm0045m2606,,,,
